COD,intercept,slope,mk_p_value,Trend_Class
186_PL,0.7477481563915686,-2.7522537882719107e-5,0.01970056376877756,1
187_PL,0.7432632839816609,-5.228298327007231e-5,0.001375591267246586,2
189_PL,0.7433738704445907,-2.661504129726165e-5,0.04479155364412944,1
18_SC,0.730860692401438,3.811026981706372e-7,0.7042213495481418,0
190_PL,0.7258828426328963,-2.1382714582752284e-5,0.007874639047666712,2
191_PL,0.7386926803478417,-1.2481124063453709e-5,0.25475116299043793,0
192_PL,0.756759907192196,-1.9598357729385303e-5,0.03442381432538878,1
193_PL,0.7774915853737765,-3.10800477719942e-5,0.007874639047666712,2
194_PL,0.7506201083733657,-1.1858181537510021e-5,0.09272192830739202,0
195_PL,0.7694035327520605,-1.9723240244229547e-5,0.014668259625073754,1
196_PL,0.7879827629357533,-1.4006672995686358e-5,0.057677443816419115,0
197_PL,0.7954015216116189,-1.7670158902110808e-5,0.014668259625073754,1
198_PL,0.7746710733562361,-1.233204598578742e-5,0.14311729825820144,0
19_SC,0.730860692401438,3.811026981706372e-7,0.7042213495481418,0
1_SC,0.7460244890550928,-3.898561532163029e-5,0.026179598354081148,1
201_PL,0.784442984682274,-3.0105990882296764e-5,6.339563081723715e-4,3
202_PL,0.7699677632201904,-1.9474594961990594e-5,9.390125330806508e-4,3
203_PL,0.7791121639443959,-1.2660147181368171e-5,0.010805309438568245,1
204_PL,0.7791121639443959,-1.2660147181368171e-5,0.010805309438568245,1
205_PL,0.7811978427821358,-2.016834808252765e-5,0.04479155364412944,1
207_PL,0.7755061035906579,-1.906293135065348e-5,0.01970056376877756,1
208_PL,0.7738957691898545,-2.3889841154721895e-6,0.7042213495481418,0
209_PL,0.7769906900101566,-7.948163525751087e-6,0.41593762623302205,0
20_SC,0.7720942456970508,-7.988424575468823e-6,0.01970056376877756,1
210_PL,0.7704573358495004,-4.856745740488671e-6,0.3565523377672604,0
211_PL,0.7707156630791244,-1.1126506008838673e-5,0.14311729825820144,0
213_PL,0.7369951378855195,-1.62992258993844e-5,0.11577768575893195,0
214_PL,0.7638062834739685,-2.5147572859281003e-5,0.007874639047666712,2
